AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-22,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",RA,26,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",RA,11,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ",RA,26,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ",RA,20,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",RA,17,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ",RA,16,3,1,1,6.3,1,1,0,0,1
2021-22,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ",RA,31,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ",RA,35,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ",RA,19,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ",RA,12,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ",RA,30,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",RA,24,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",RA,51,2,1,0,2,0,2,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Vallecito Elementary","No ",RA,29,0,0,0,0,0,0,0,0,0
