AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ","Two or More Races",69,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ","Two or More Races",73,1,1,0,1.4,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ","Two or More Races",13,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ","Two or More Races",29,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ","Two or More Races",45,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ","Two or More Races",48,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","Two or More Races",15,1,1,0,6.7,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,"Two or More Races",23,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ","Two or More Races",38,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ","Two or More Races",81,2,2,0,2.5,1,1,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ","Two or More Races",34,1,1,0,2.9,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ","Two or More Races",27,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ","Two or More Races",33,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ","Two or More Races",44,0,0,0,0,0,0,0,0,0
