AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","African American",17,3,2,2,11.8,0,0,0,0,2
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ","African American",13,4,4,0,30.8,0,2,0,1,0
2021-01-08,S,21,,,Marin,"Novato Unified","Hamilton Meadow Park","No ","African American",34,4,3,0,8.8,0,4,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Nova Education Center","No ","African American",14,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Novato High","No ","African American",45,5,4,0,8.9,1,2,0,2,0
2021-01-08,S,21,,,Marin,"Novato Unified","San Marin High","No ","African American",14,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Sinaloa Middle","No ","African American",11,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","James B. Davidson Middle","No ","African American",13,2,2,0,15.4,0,2,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City High","San Rafael High","No ","African American",13,1,1,0,7.7,0,1,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City High","Terra Linda High","No ","African American",23,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Sausalito Marin City","Bayside Martin Luther King Jr. Academy","No ","African American",117,9,8,1,6.8,4,3,0,1,1
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Redwood High","No ","African American",21,5,2,1,9.5,2,1,0,0,2
2021-01-08,S,21,,,Marin,"Tamalpais Union High","San Andreas High (Continuation)","No ","African American",12,2,2,0,16.7,2,0,0,0,0
