AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ","English Learners",13,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ","English Learners",28,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ","English Learners",63,1,1,0,1.6,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Laguna Joint Elementary","Laguna Elementary","No ","English Learners",13,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ","English Learners",29,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ","English Learners",21,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ","English Learners",47,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","English Learners",16,1,1,0,6.3,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","English Learners",35,4,2,1,5.7,1,2,0,0,1
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin's Community","No ","English Learners",20,2,1,0,5,0,2,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"English Learners",14,2,2,0,14.3,0,1,0,1,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,"English Learners",40,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ","English Learners",34,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ","English Learners",22,5,2,0,9.1,0,4,1,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ","English Learners",12,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ","English Learners",24,0,0,0,0,0,0,0,0,0
