AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ","Hispanic or Latino",26,1,1,1,3.8,0,0,0,0,1
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ","Hispanic or Latino",85,3,1,0,1.2,0,3,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ","Hispanic or Latino",90,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ","Hispanic or Latino",22,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ","Hispanic or Latino",56,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ","Hispanic or Latino",61,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ","Hispanic or Latino",80,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Hispanic or Latino",22,1,1,0,4.5,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","Hispanic or Latino",85,3,2,0,2.4,1,2,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin's Community","No ","Hispanic or Latino",46,8,5,0,10.9,0,8,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"Hispanic or Latino",35,2,2,0,5.7,0,1,0,1,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,"Hispanic or Latino",65,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ","Hispanic or Latino",40,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ","Hispanic or Latino",77,1,1,0,1.3,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ","Hispanic or Latino",14,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ","Hispanic or Latino",21,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ","Hispanic or Latino",33,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ","Hispanic or Latino",32,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ","Hispanic or Latino",34,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ","Hispanic or Latino",130,0,0,0,0,0,0,0,0,0
