AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",Homeless,18,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",Homeless,15,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",Homeless,20,4,2,0,10,0,1,0,3,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Vallecito Elementary","No ",Homeless,16,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Hamilton Meadow Park","No ",Homeless,37,1,1,0,2.7,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","San Jose Intermediate","No ",Homeless,22,1,1,0,4.5,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Sinaloa Middle","No ",Homeless,16,1,1,0,6.3,0,1,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","Bahia Vista Elementary","No ",Homeless,208,3,3,0,1.4,0,2,1,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","Coleman Elementary","No ",Homeless,55,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","Glenwood Elementary","No ",Homeless,14,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","James B. Davidson Middle","No ",Homeless,317,19,14,0,4.4,3,14,1,1,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","Laurel Dell Elementary","No ",Homeless,49,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","San Pedro Elementary","No ",Homeless,153,4,3,1,2,0,2,0,0,1
2021-01-08,S,21,,,Marin,"San Rafael City Elementary","Sun Valley Elementary","No ",Homeless,20,0,0,0,0,0,0,0,0,0
