AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ",Male,45,2,2,1,4.4,0,1,0,0,1
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",Male,259,11,9,0,3.5,0,9,1,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",Male,262,1,1,0,0.4,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ",Male,75,2,2,0,2.7,1,0,0,1,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","San Geronimo Valley Elementary","No ",Male,34,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ",Male,206,1,1,0,0.5,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ",Male,236,2,2,0,0.8,0,2,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",Male,256,2,2,0,0.8,0,2,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",Male,43,1,1,0,2.3,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ",Male,153,24,8,4,5.2,9,7,1,0,4
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin's Community","No ",Male,45,8,5,0,11.1,0,8,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Nonpublic, Nonsectarian Schools","No ",Male,21,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Phoenix Academy",Yes,Male,19,1,1,0,5.3,0,0,0,1,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,Male,108,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ",Male,232,6,2,1,0.9,2,1,0,0,3
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ",Male,452,20,13,0,2.9,6,9,2,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ",Male,132,1,1,0,0.8,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ",Male,147,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ",Male,133,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ",Male,207,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ",Male,177,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",Male,199,1,1,0,0.5,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",Male,393,25,16,1,4.1,1,13,3,2,1
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Vallecito Elementary","No ",Male,203,1,1,0,0.5,0,1,0,0,0
2021-01-08,S,21,,,Marin,Nicasio,Nicasio,"No ",Male,15,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Hamilton Meadow Park","No ",Male,285,32,21,6,7.4,2,16,2,1,7
2021-01-08,S,21,,,Marin,"Novato Unified","Loma Verde Elementary","No ",Male,225,15,3,0,1.3,4,11,0,0,0
