AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ","Socioeconomically Disadvantaged",44,1,1,1,2.3,0,0,0,0,1
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ","Socioeconomically Disadvantaged",65,3,1,0,1.5,0,3,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ","Socioeconomically Disadvantaged",71,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ","Socioeconomically Disadvantaged",34,2,2,0,5.9,1,0,0,1,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","San Geronimo Valley Elementary","No ","Socioeconomically Disadvantaged",11,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ","Socioeconomically Disadvantaged",37,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ","Socioeconomically Disadvantaged",53,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ","Socioeconomically Disadvantaged",47,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Socioeconomically Disadvantaged",56,1,1,0,1.8,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","Socioeconomically Disadvantaged",79,9,5,2,6.3,3,2,0,0,2
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin's Community","No ","Socioeconomically Disadvantaged",54,8,5,0,9.3,0,8,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Nonpublic, Nonsectarian Schools","No ","Socioeconomically Disadvantaged",21,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"Socioeconomically Disadvantaged",36,2,2,0,5.6,0,1,0,1,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,"Socioeconomically Disadvantaged",74,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ","Socioeconomically Disadvantaged",25,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ","Socioeconomically Disadvantaged",65,2,2,0,3.1,0,2,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ","Socioeconomically Disadvantaged",16,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ","Socioeconomically Disadvantaged",24,0,0,0,0,0,0,0,0,0
