AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ","Students with Disabilities",17,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ","Students with Disabilities",84,3,3,0,3.6,0,3,0,0,0
2021-01-08,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ","Students with Disabilities",54,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ","Students with Disabilities",20,1,1,0,5,1,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ","Students with Disabilities",57,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ","Students with Disabilities",59,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ","Students with Disabilities",61,1,1,0,1.6,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Students with Disabilities",23,1,1,0,4.3,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ","Students with Disabilities",232,30,12,6,5.2,11,8,2,0,6
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Nonpublic, Nonsectarian Schools","No ","Students with Disabilities",23,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,"Students with Disabilities",29,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ","Students with Disabilities",69,1,1,0,1.4,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ","Students with Disabilities",122,8,5,0,4.1,4,1,1,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ","Students with Disabilities",36,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ","Students with Disabilities",26,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ","Students with Disabilities",27,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ","Students with Disabilities",47,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ","Students with Disabilities",63,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ","Students with Disabilities",67,1,1,0,1.5,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ","Students with Disabilities",88,7,6,0,6.8,0,5,0,1,0
2021-01-08,S,21,,,Marin,"Miller Creek Elementary","Vallecito Elementary","No ","Students with Disabilities",56,1,1,0,1.8,0,1,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Hamilton Meadow Park","No ","Students with Disabilities",87,7,6,0,6.9,2,5,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Loma Verde Elementary","No ","Students with Disabilities",50,15,3,0,6,4,11,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Lu Sutton Elementary","No ","Students with Disabilities",44,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Lynwood Elementary","No ","Students with Disabilities",28,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Marin Oaks High","No ","Students with Disabilities",20,2,2,0,10,1,1,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Nonpublic, Nonsectarian Schools","No ","Students with Disabilities",55,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Nova Education Center","No ","Students with Disabilities",27,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Novato Charter",Yes,"Students with Disabilities",28,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Novato High","No ","Students with Disabilities",133,10,9,1,6.8,2,1,1,5,1
2021-01-08,S,21,,,Marin,"Novato Unified","Olive Elementary","No ","Students with Disabilities",79,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Pleasant Valley Elementary","No ","Students with Disabilities",46,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","Rancho Elementary","No ","Students with Disabilities",48,2,2,0,4.2,0,2,0,0,0
2021-01-08,S,21,,,Marin,"Novato Unified","San Jose Intermediate","No ","Students with Disabilities",75,9,6,0,8,1,3,1,4,0
2021-01-08,S,21,,,Marin,"Novato Unified","San Marin High","No ","Students with Disabilities",123,9,6,1,4.9,0,5,0,2,1
2021-01-08,S,21,,,Marin,"Novato Unified","San Ramon Elementary","No ","Students with Disabilities",71,0,0,0,0,0,0,0,0,0
