AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-22,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ",TA,105,3,3,2,2.9,0,1,0,0,2
2021-22,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",TA,521,11,9,0,1.7,0,9,1,0,0
2021-22,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",TA,538,1,1,0,0.2,1,0,0,0,0
2021-22,S,21,,,Marin,"Kentfield Elementary","Nonpublic, Nonsectarian Schools","No ",TA,2,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Laguna Joint Elementary","Laguna Elementary","No ",TA,16,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Laguna Joint Elementary","Lincoln Union","No ",TA,7,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ",TA,147,2,2,0,1.4,1,0,0,1,0
2021-22,S,21,,,Marin,"Lagunitas Elementary","San Geronimo Valley Elementary","No ",TA,58,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ",TA,370,1,1,0,0.3,0,1,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ",TA,491,3,3,0,0.6,0,2,0,1,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",TA,517,2,2,0,0.4,0,2,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Nonpublic, Nonsectarian Schools","No ",TA,5,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",TA,56,1,1,0,1.8,0,1,0,0,0
