AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2018-01-08,D,21,65466,0,Marin,"San Rafael City High","District Office","No ","African American",33,6,4,1,12.1,0,2,0,2,1
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office","No ","African American",30,13,8,5,26.7,1,4,0,1,7
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office",All,"African American",30,13,8,5,26.7,1,4,0,1,7
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office","No ","African American",67,10,9,6,13.4,1,3,0,0,6
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office",Yes,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office",All,"African American",114,15,13,8,11.4,2,4,0,1,8
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office",Yes,"African American",48,5,4,2,8.3,1,1,0,1,2
2018-01-08,D,21,65359,0,Marin,"Lagunitas Elementary","District Office","No ","African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,10215,0,Marin,"Marin County Office of Education","District Office",All,"African American",53,23,3,2,5.7,1,4,0,4,14
2018-01-08,D,21,10215,0,Marin,"Marin County Office of Education","District Office","No ","African American",53,23,3,2,5.7,1,4,0,4,14
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office",All,"African American",193,29,17,0,8.8,1,20,0,7,0
2018-01-08,D,21,10215,0,Marin,"Marin County Office of Education","District Office",Yes,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office","No ","African American",192,29,17,0,8.9,1,20,0,7,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office",All,"African American",23,2,2,0,8.7,0,2,0,0,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office","No ","African American",23,2,2,0,8.7,0,2,0,0,0
2018-01-08,D,21,65359,0,Marin,"Lagunitas Elementary","District Office",All,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65391,0,Marin,"Mill Valley Elementary","District Office","No ","African American",18,2,1,1,5.6,0,0,0,0,2
2018-01-08,D,21,77065,0,Marin,"SBE - Ross Valley Elementary","District Office",All,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,77065,0,Marin,"SBE - Ross Valley Elementary","District Office",Yes,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65300,0,Marin,"Bolinas-Stinson Union","District Office",All,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65458,0,Marin,"San Rafael City Elementary","District Office","No ","African American",41,3,2,0,4.9,0,2,0,0,0
2018-01-08,D,21,65458,0,Marin,"San Rafael City Elementary","District Office",All,"African American",41,3,2,0,4.9,0,2,0,0,0
2018-01-08,D,21,65367,0,Marin,"Larkspur-Corte Madera","District Office",All,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65367,0,Marin,"Larkspur-Corte Madera","District Office","No ","African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65425,0,Marin,"Reed Union Elementary","District Office",All,"African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65425,0,Marin,"Reed Union Elementary","District Office","No ","African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65334,0,Marin,"Kentfield Elementary","District Office","No ","African American",11,2,2,0,18.2,0,0,0,0,0
2018-01-08,D,21,65334,0,Marin,"Kentfield Elementary","District Office",All,"African American",11,2,2,0,18.2,0,0,0,0,0
2018-01-08,D,21,65482,0,Marin,"Tamalpais Union High","District Office",All,"African American",105,19,14,3,13.3,3,5,0,7,3
2018-01-08,D,21,65482,0,Marin,"Tamalpais Union High","District Office","No ","African American",105,19,14,3,13.3,3,5,0,7,3
2018-01-08,D,21,65300,0,Marin,"Bolinas-Stinson Union","District Office","No ","African American",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65466,0,Marin,"San Rafael City High","District Office",All,"African American",33,6,4,1,12.1,0,2,0,2,1
2018-01-08,D,21,65391,0,Marin,"Mill Valley Elementary","District Office",All,"African American",18,2,1,1,5.6,0,0,0,0,2
2018-01-08,D,21,10215,0,Marin,"Marin County Office of Education","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65433,0,Marin,"Ross Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65466,0,Marin,"San Rafael City High","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65482,0,Marin,"Tamalpais Union High","District Office",All,"American Indian or Alaska Native",16,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65482,0,Marin,"Tamalpais Union High","District Office","No ","American Indian or Alaska Native",16,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65466,0,Marin,"San Rafael City High","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office",All,"American Indian or Alaska Native",58,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office","No ","American Indian or Alaska Native",57,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office",Yes,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65334,0,Marin,"Kentfield Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65433,0,Marin,"Ross Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65425,0,Marin,"Reed Union Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65425,0,Marin,"Reed Union Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65359,0,Marin,"Lagunitas Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65391,0,Marin,"Mill Valley Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,73361,0,Marin,"Shoreline Unified","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65458,0,Marin,"San Rafael City Elementary","District Office","No ","American Indian or Alaska Native",19,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,73361,0,Marin,"Shoreline Unified","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65334,0,Marin,"Kentfield Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65458,0,Marin,"San Rafael City Elementary","District Office",All,"American Indian or Alaska Native",19,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65367,0,Marin,"Larkspur-Corte Madera","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65391,0,Marin,"Mill Valley Elementary","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,10215,0,Marin,"Marin County Office of Education","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65367,0,Marin,"Larkspur-Corte Madera","District Office",All,"American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65359,0,Marin,"Lagunitas Elementary","District Office","No ","American Indian or Alaska Native",0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office","No ",Asian,180,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65300,0,Marin,"Bolinas-Stinson Union","District Office",All,Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65318,0,Marin,"Miller Creek Elementary","District Office",All,Asian,180,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office",All,Asian,435,8,4,0,0.9,0,6,0,2,0
2018-01-08,D,21,65425,0,Marin,"Reed Union Elementary","District Office","No ",Asian,98,7,3,0,3.1,0,7,0,0,0
2018-01-08,D,21,65417,0,Marin,"Novato Unified","District Office","No ",Asian,423,8,4,0,0.9,0,6,0,2,0
2018-01-08,D,21,65409,0,Marin,Nicasio,"District Office",All,Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office",All,Asian,45,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office","No ",Asian,51,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,73361,0,Marin,"Shoreline Unified","District Office",All,Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,73361,0,Marin,"Shoreline Unified","District Office","No ",Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,75002,0,Marin,"Ross Valley Elementary","District Office",All,Asian,51,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office",Yes,Asian,41,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65474,0,Marin,"Sausalito Marin City","District Office","No ",Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65433,0,Marin,"Ross Elementary","District Office","No ",Asian,0,0,0,0,0,0,0,0,0,0
2018-01-08,D,21,65409,0,Marin,Nicasio,"District Office","No ",Asian,0,0,0,0,0,0,0,0,0,0
