AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-22,S,21,,,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ",RH,26,1,1,1,3.8,0,0,0,0,1
2021-22,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",RH,85,3,1,0,1.2,0,3,0,0,0
2021-22,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",RH,90,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ",RH,22,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ",RH,56,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ",RH,61,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",RH,80,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",RH,22,1,1,0,4.5,0,1,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ",RH,85,3,2,0,2.4,1,2,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin's Community","No ",RH,46,8,5,0,10.9,0,8,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Phoenix Academy",Yes,RH,35,2,2,0,5.7,0,1,0,1,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,RH,65,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ",RH,40,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ",RH,77,1,1,0,1.3,0,1,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ",RH,14,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ",RH,21,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ",RH,33,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ",RH,32,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ",RH,34,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",RH,130,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",RH,148,16,9,0,6.1,0,6,3,4,0
