AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-22,S,21,,,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",RT,69,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",RT,73,1,1,0,1.4,1,0,0,0,0
2021-22,S,21,,,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ",RT,13,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera",Cove,"No ",RT,29,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Hall Middle","No ",RT,45,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",RT,48,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Marin County Special Education","No ",RT,15,1,1,0,6.7,1,0,0,0,0
2021-22,S,21,,,Marin,"Marin County Office of Education","Ross Valley Charter",Yes,RT,23,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Edna Maguire Elementary","No ",RT,38,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Mill Valley Middle","No ",RT,81,2,2,0,2.5,1,1,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Old Mill Elementary","No ",RT,34,1,1,0,2.9,0,1,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Park Elementary","No ",RT,27,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Strawberry Point Elementary","No ",RT,33,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Mill Valley Elementary","Tamalpais Valley Elementary","No ",RT,44,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Lucas Valley Elementary","No ",RT,29,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Mary E. Silveira Elementary","No ",RT,39,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",RT,67,2,2,0,3,0,1,0,1,0
2021-22,S,21,,,Marin,"Miller Creek Elementary","Vallecito Elementary","No ",RT,44,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Hamilton Meadow Park","No ",RT,21,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Loma Verde Elementary","No ",RT,33,15,3,0,9.1,4,11,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Lu Sutton Elementary","No ",RT,15,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Lynwood Elementary","No ",RT,12,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Nova Education Center","No ",RT,23,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Novato Charter",Yes,RT,34,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Novato High","No ",RT,80,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Olive Elementary","No ",RT,24,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Pleasant Valley Elementary","No ",RT,39,1,1,0,2.6,0,1,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Rancho Elementary","No ",RT,41,1,1,0,2.4,0,1,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","San Jose Intermediate","No ",RT,23,4,3,0,13,1,0,0,3,0
2021-22,S,21,,,Marin,"Novato Unified","San Marin High","No ",RT,81,3,2,0,2.5,0,3,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","San Ramon Elementary","No ",RT,54,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Novato Unified","Sinaloa Middle","No ",RT,67,5,3,0,4.5,0,5,0,0,0
2021-22,S,21,,,Marin,"Reed Union Elementary","Bel Aire Elementary","No ",RT,44,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Reed Union Elementary","Del Mar Middle","No ",RT,32,6,4,0,12.5,3,3,0,0,0
2021-22,S,21,,,Marin,"Reed Union Elementary","Reed Elementary","No ",RT,24,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Ross Elementary","Ross Elementary","No ",RT,18,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Ross Valley Elementary","Brookside Elementary","No ",RT,30,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Ross Valley Elementary","Hidden Valley Elementary","No ",RT,37,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Ross Valley Elementary","Manor Elementary","No ",RT,27,1,1,0,3.7,0,1,0,0,0
2021-22,S,21,,,Marin,"Ross Valley Elementary","Wade Thomas Elementary","No ",RT,35,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"Ross Valley Elementary","White Hill Middle","No ",RT,31,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"San Rafael City Elementary","Coleman Elementary","No ",RT,13,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"San Rafael City Elementary","Glenwood Elementary","No ",RT,23,4,1,0,4.3,0,4,0,0,0
2021-22,S,21,,,Marin,"San Rafael City Elementary","Sun Valley Elementary","No ",RT,37,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"San Rafael City Elementary","Venetia Valley K-8","No ",RT,15,0,0,0,0,0,0,0,0,0
2021-22,S,21,,,Marin,"San Rafael City High","San Rafael High","No ",RT,15,2,1,0,6.7,0,0,0,2,0
2021-22,S,21,,,Marin,"San Rafael City High","Terra Linda High","No ",RT,60,3,2,0,3.3,1,2,0,0,0
