AcademicYear,SchoolName,SuspensionRate,DefianceRate,ViolentInjuryRate,ViolentNonInjuryRate,WeaponPossessionRate,DrugSuspensionRate,OtherSuspensionRate
2018-01-08,"Adaline E. Kent Middle",2.1053,0.0000,0.0000,66.6667,0.0000,0.0000,0.0000
2018-01-08,"Anthony G. Bacich Elementary",1.4493,25.0000,0.0000,50.0000,0.0000,0.0000,25.0000
2018-01-08,"Archie Williams High",2.9070,0.0000,20.0000,40.0000,0.0000,40.0000,0.0000
2018-01-08,"Bahia Vista Elementary",0.8757,11.1111,55.5556,22.2222,0.0000,0.0000,11.1111
2018-01-08,"Bayside Martin Luther King Jr. Academy",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Bel Aire Elementary",3.8462,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2018-01-08,"Bodega Bay Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Bolinas-Stinson Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Brookside Elementary",2.7778,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2018-01-08,"Coleman Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,Cove,5.1724,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2018-01-08,"Del Mar Middle",8.6957,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2018-01-08,"Dixie Elementary",5.4054,33.3333,0.0000,0.0000,0.0000,0.0000,100.0000
2018-01-08,"Edna Maguire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Glenwood Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Hall Middle",2.6316,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000
2018-01-08,"Hamilton Meadow Park",2.4938,15.3846,7.6923,76.9231,0.0000,0.0000,15.3846
2018-01-08,"Hidden Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Inverness Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
