CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RT,14265,518,348,25,2.4,129,262,26,41,26
Alameda,,,"No ",RT,13176,454,308,22,2.3,121,222,24,33,23
Alameda,,,Yes,RT,1149,65,42,3,3.7,8,40,3,8,3
Amador,,,All,RT,305,33,21,1,6.9,12,14,0,4,1
Amador,,,"No ",RT,305,33,21,1,6.9,12,14,0,4,1
Butte,,,All,RT,2136,199,121,6,5.7,22,115,3,37,8
Butte,,,"No ",RT,1796,193,116,6,6.5,20,111,3,37,8
Butte,,,Yes,RT,402,5,4,0,1,2,3,0,0,0
Calaveras,,,All,RT,339,52,27,8,8,6,21,0,6,15
Calaveras,,,"No ",RT,312,52,27,8,8.7,6,21,0,6,15
Calaveras,,,Yes,RT,29,0,0,0,0,0,0,0,0,0
Colusa,,,All,RT,45,6,5,0,11.1,1,4,1,0,0
Colusa,,,"No ",RT,45,6,5,0,11.1,1,4,1,0,0
"Contra Costa",,,All,RT,12215,535,352,32,2.9,100,295,22,63,36
"Contra Costa",,,"No ",RT,11594,518,340,28,2.9,103,282,23,60,32
"Contra Costa",,,Yes,RT,649,19,14,2,2.2,1,12,0,3,2
"Del Norte",,,All,RT,356,52,25,2,7,8,30,3,6,2
"Del Norte",,,"No ",RT,295,51,24,1,8.1,8,30,3,6,1
"Del Norte",,,Yes,RT,79,0,0,0,0,0,0,0,0,0
"El Dorado",,,All,RT,1752,93,58,8,3.3,20,33,5,20,9
"El Dorado",,,"No ",RT,1221,84,53,7,4.3,20,27,3,19,8
"El Dorado",,,Yes,RT,548,5,5,0,0.9,0,4,1,0,0
Fresno,,,All,RT,5130,387,241,6,4.7,131,174,16,46,9
Fresno,,,"No ",RT,4500,369,231,5,5.1,129,167,15,43,6
Fresno,,,Yes,RT,734,9,8,0,1.1,3,2,1,2,0
Glenn,,,All,RT,156,3,2,0,1.3,1,1,1,0,0
Glenn,,,"No ",RT,84,1,1,0,1.2,1,0,0,0,0
Glenn,,,Yes,RT,76,0,0,0,0,0,0,0,0,0
Humboldt,,,All,RT,1780,207,111,10,6.2,22,137,3,29,11
Humboldt,,,"No ",RT,1486,204,108,10,7.3,21,135,3,29,11
Humboldt,,,Yes,RT,325,3,3,0,0.9,1,2,0,0,0
Imperial,,,All,RT,141,13,9,1,6.4,2,3,0,6,2
Imperial,,,"No ",RT,136,13,9,1,6.6,2,3,0,6,2
Inyo,,,All,RT,238,6,6,0,2.5,2,3,0,0,0
Inyo,,,"No ",RT,225,6,6,0,2.7,2,3,0,0,0
Inyo,,,Yes,RT,13,0,0,0,0,0,0,0,0,0
Kern,,,All,RT,3704,165,109,4,2.9,36,99,6,18,4
Kern,,,"No ",RT,2697,153,103,4,3.8,29,95,6,18,4
Kern,,,Yes,RT,1025,12,6,0,0.6,7,4,0,0,0
Kings,,,All,RT,1074,55,40,1,3.7,4,36,4,7,1
Kings,,,"No ",RT,876,51,36,1,4.1,3,34,4,6,1
Kings,,,Yes,RT,217,6,5,0,2.3,1,4,0,1,0
Lake,,,All,RT,661,135,78,9,11.8,15,63,6,32,15
Lake,,,"No ",RT,634,134,77,9,12.1,15,63,6,31,15
Lake,,,Yes,RT,28,1,1,0,3.6,0,0,0,1,0
Lassen,,,All,RT,280,26,22,2,7.9,1,15,2,5,2
Lassen,,,"No ",RT,242,25,21,2,8.7,1,15,1,5,2
Lassen,,,Yes,RT,44,1,1,0,2.3,0,0,1,0,0
"Los Angeles",,,All,RT,39934,983,667,40,1.7,124,591,46,126,44
"Los Angeles",,,"No ",RT,34097,939,636,37,1.9,116,569,44,119,41
"Los Angeles",,,Yes,RT,6603,50,36,4,0.5,9,22,2,10,4
Madera,,,All,RT,564,75,44,5,7.8,17,34,3,15,5
Madera,,,"No ",RT,494,72,40,5,8.1,18,33,3,12,5
Madera,,,Yes,RT,89,4,4,0,4.5,1,0,0,3,0
Marin,,,All,RT,2165,56,33,0,1.5,13,34,1,8,0
Marin,,,"No ",RT,2109,56,33,0,1.6,13,34,1,8,0
Marin,,,Yes,RT,57,0,0,0,0,0,0,0,0,0
Mariposa,,,All,RT,122,5,4,0,3.3,0,3,0,2,0
Mariposa,,,"No ",RT,117,5,4,0,3.4,0,3,0,2,0
Mendocino,,,All,RT,549,66,47,3,8.6,17,27,3,14,3
Mendocino,,,"No ",RT,470,63,44,2,9.4,17,27,3,12,2
Mendocino,,,Yes,RT,88,3,3,1,3.4,0,0,0,2,1
Merced,,,All,RT,845,68,40,6,4.7,1,39,3,10,10
Merced,,,"No ",RT,836,68,40,6,4.8,1,39,3,10,10
Merced,,,Yes,RT,12,0,0,0,0,0,0,0,0,0
Modoc,,,All,RT,54,6,3,3,5.6,0,1,0,0,4
Modoc,,,"No ",RT,54,6,3,3,5.6,0,1,0,0,4
Mono,,,All,RT,39,0,0,0,0,0,0,0,0,0
Mono,,,"No ",RT,33,0,0,0,0,0,0,0,0,0
Monterey,,,All,RT,1366,36,25,2,1.8,8,20,1,4,3
Monterey,,,"No ",RT,1166,36,24,2,2.1,8,19,1,5,3
Monterey,,,Yes,RT,212,2,2,0,0.9,0,2,0,0,0
Napa,,,All,RT,824,36,26,1,3.2,7,18,2,7,1
Napa,,,"No ",RT,803,36,26,1,3.2,7,18,2,7,1
Napa,,,Yes,RT,22,0,0,0,0,0,0,0,0,0
Nevada,,,All,RT,704,36,27,1,3.8,5,12,3,11,2
Nevada,,,"No ",RT,435,29,21,1,4.8,7,7,2,9,2
Nevada,,,Yes,RT,291,9,7,0,2.4,0,5,1,2,0
Orange,,,All,RT,21545,399,286,12,1.3,33,229,30,75,18
Orange,,,"No ",RT,19840,390,277,11,1.4,31,225,30,73,17
Orange,,,Yes,RT,1757,11,10,1,0.6,3,5,0,2,1
Placer,,,All,RT,5722,256,163,8,2.8,60,112,11,38,15
Placer,,,"No ",RT,4867,232,149,9,3.1,59,93,11,36,16
Placer,,,Yes,RT,907,27,16,0,1.8,2,20,0,2,0
Plumas,,,All,RT,191,21,13,3,6.8,4,5,2,4,6
