CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RB,19528,2734,1669,95,8.5,945,1312,71,190,115
Alameda,,,"No ",RB,16132,2318,1393,78,8.6,894,1022,63,154,97
Alameda,,,Yes,RB,3641,416,281,17,7.7,51,291,7,36,18
Amador,,,All,RB,23,7,4,0,17.4,2,3,0,1,0
Amador,,,"No ",RB,23,7,4,0,17.4,2,3,0,1,0
Butte,,,All,RB,619,100,63,2,10.2,10,66,4,15,2
Butte,,,"No ",RB,554,98,61,2,11,8,66,4,15,2
Butte,,,Yes,RB,90,2,2,0,2.2,2,0,0,0,0
Calaveras,,,All,RB,44,5,4,0,9.1,3,0,0,2,0
Calaveras,,,"No ",RB,38,5,4,0,10.5,3,0,0,2,0
Colusa,,,All,RB,42,10,5,0,11.9,2,7,0,1,0
Colusa,,,"No ",RB,42,10,5,0,11.9,2,7,0,1,0
"Contra Costa",,,All,RB,15023,2907,1703,143,11.3,685,1678,77,217,172
"Contra Costa",,,"No ",RB,13882,2803,1634,136,11.8,674,1605,75,211,164
"Contra Costa",,,Yes,RB,1268,108,78,10,6.2,9,75,2,7,11
"Del Norte",,,All,RB,31,4,2,0,6.5,0,3,1,0,0
"Del Norte",,,"No ",RB,27,4,2,0,7.4,0,3,1,0,0
"El Dorado",,,All,RB,345,30,19,3,5.5,7,14,1,2,4
"El Dorado",,,"No ",RB,194,30,19,3,9.8,7,14,1,2,4
"El Dorado",,,Yes,RB,154,0,0,0,0,0,0,0,0,0
Fresno,,,All,RB,10269,2074,1178,49,11.5,852,831,44,236,56
Fresno,,,"No ",RB,9188,2049,1152,49,12.5,844,817,44,236,58
Fresno,,,Yes,RB,1368,35,29,1,2.1,10,17,0,2,1
Glenn,,,All,RB,36,5,3,0,8.3,0,5,0,0,0
Glenn,,,"No ",RB,24,4,2,0,8.3,0,4,0,0,0
Glenn,,,Yes,RB,12,1,1,0,8.3,0,1,0,0,0
Humboldt,,,All,RB,231,26,17,3,7.4,1,16,1,2,4
Humboldt,,,"No ",RB,209,26,17,3,8.1,1,16,1,2,4
Humboldt,,,Yes,RB,27,0,0,0,0,0,0,0,0,0
Imperial,,,All,RB,244,40,23,4,9.4,4,24,3,4,4
Imperial,,,"No ",RB,237,40,23,4,9.7,4,24,3,4,4
Inyo,,,All,RB,389,2,2,0,0.5,0,0,0,2,0
Inyo,,,"No ",RB,18,2,2,0,11.1,0,0,0,2,0
Inyo,,,Yes,RB,371,0,0,0,0,0,0,0,0,0
Kern,,,All,RB,11052,2164,1187,87,10.7,274,1500,40,177,110
Kern,,,"No ",RB,10276,2151,1181,87,11.5,271,1495,40,174,108
Kern,,,Yes,RB,852,7,6,0,0.7,0,4,0,3,0
