CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RI,609,24,20,2,3.3,5,13,0,2,2
Alameda,,,"No ",RI,559,21,17,2,3,4,11,0,2,2
Alameda,,,Yes,RI,54,2,2,0,3.7,1,1,0,0,0
Alpine,,,All,RI,32,8,4,0,12.5,1,6,0,1,0
Alpine,,,"No ",RI,32,8,4,0,12.5,1,6,0,1,0
Amador,,,All,RI,96,6,6,0,6.3,1,1,0,4,0
Amador,,,"No ",RI,96,6,6,0,6.3,1,1,0,4,0
Butte,,,All,RI,609,86,52,3,8.5,10,53,5,10,3
Butte,,,"No ",RI,554,89,54,3,9.7,10,54,5,12,3
Butte,,,Yes,RI,68,1,1,0,1.5,0,1,0,0,0
Calaveras,,,All,RI,88,8,6,1,6.8,2,4,0,1,1
Calaveras,,,"No ",RI,79,8,6,1,7.6,2,4,0,1,1
Colusa,,,All,RI,64,3,3,0,4.7,0,0,0,1,0
Colusa,,,"No ",RI,64,3,3,0,4.7,0,0,0,1,0
"Contra Costa",,,All,RI,522,39,27,6,5.2,7,19,1,2,9
"Contra Costa",,,"No ",RI,480,31,25,5,5.2,7,15,1,2,5
"Contra Costa",,,Yes,RI,42,8,2,1,4.8,0,4,0,0,4
"Del Norte",,,All,RI,603,124,65,9,10.8,16,62,3,28,10
"Del Norte",,,"No ",RI,555,125,66,10,11.9,16,62,3,28,11
"Del Norte",,,Yes,RI,84,0,0,0,0,0,0,0,0,0
"El Dorado",,,All,RI,281,24,21,4,7.5,3,8,2,6,4
"El Dorado",,,"No ",RI,241,27,22,5,9.1,3,9,2,7,5
"El Dorado",,,Yes,RI,46,2,1,0,2.2,0,1,1,0,0
Fresno,,,All,RI,1258,131,86,4,6.8,36,62,6,20,4
Fresno,,,"No ",RI,1146,129,85,4,7.4,35,60,6,21,4
Fresno,,,Yes,RI,134,2,1,0,0.7,0,2,0,0,0
Glenn,,,All,RI,141,15,10,1,7.1,0,9,0,3,1
Glenn,,,"No ",RI,120,15,10,1,8.3,0,9,0,3,1
Glenn,,,Yes,RI,24,0,0,0,0,0,0,0,0,0
Humboldt,,,All,RI,1649,277,157,33,9.5,10,141,4,73,40
Humboldt,,,"No ",RI,1600,277,157,33,9.8,10,141,4,73,40
Humboldt,,,Yes,RI,66,0,0,0,0,0,0,0,0,0
Imperial,,,All,RI,359,34,25,2,7,8,5,3,12,2
Imperial,,,"No ",RI,357,34,25,2,7,8,5,3,12,2
Inyo,,,All,RI,426,72,42,0,9.9,18,40,4,5,0
Inyo,,,"No ",RI,417,72,42,0,10.1,18,40,4,5,0
Kern,,,All,RI,939,121,81,8,8.6,11,47,8,42,9
Kern,,,"No ",RI,859,117,79,8,9.2,10,45,8,41,9
Kern,,,Yes,RI,91,3,2,0,2.2,1,2,0,0,0
Kings,,,All,RI,294,52,28,1,9.5,7,28,7,8,1
Kings,,,"No ",RI,252,52,28,1,11.1,7,28,7,8,1
Kings,,,Yes,RI,54,0,0,0,0,0,0,0,0,0
Lake,,,All,RI,410,94,52,4,12.7,22,42,1,19,9
Lake,,,"No ",RI,408,94,52,4,12.7,22,42,1,19,9
Lassen,,,All,RI,146,29,18,1,12.3,5,20,1,1,1
Lassen,,,"No ",RI,128,30,19,1,14.8,5,20,1,2,1
Lassen,,,Yes,RI,22,0,0,0,0,0,0,0,0,0
"Los Angeles",,,All,RI,2419,103,62,7,2.6,12,63,1,6,12
"Los Angeles",,,"No ",RI,1803,85,56,6,3.1,6,59,0,5,9
"Los Angeles",,,Yes,RI,668,13,5,1,0.7,6,1,0,0,3
Madera,,,All,RI,338,50,30,2,8.9,6,28,0,14,2
Madera,,,"No ",RI,309,48,30,2,9.7,6,28,0,12,2
Madera,,,Yes,RI,39,2,2,0,5.1,0,0,0,2,0
Marin,,,All,RI,116,2,2,0,1.7,1,1,0,0,0
Marin,,,"No ",RI,115,2,2,0,1.7,1,1,0,0,0
Mariposa,,,All,RI,68,3,2,1,2.9,0,2,0,0,1
Mariposa,,,"No ",RI,68,3,2,1,2.9,0,2,0,0,1
Mendocino,,,All,RI,860,143,80,10,9.3,23,73,0,27,13
Mendocino,,,"No ",RI,780,134,77,9,9.9,23,69,0,23,12
Mendocino,,,Yes,RI,99,9,5,1,5.1,0,4,0,4,1
Merced,,,All,RI,295,15,12,0,4.1,2,10,1,2,0
