CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RA,62116,513,413,37,0.7,97,261,35,50,39
Alameda,,,"No ",RA,59394,488,392,37,0.7,91,249,32,47,39
Alameda,,,Yes,RA,2830,24,20,0,0.7,6,11,3,3,0
Amador,,,All,RA,27,1,1,0,3.7,1,0,0,0,0
Amador,,,"No ",RA,27,1,1,0,3.7,1,0,0,0,0
Butte,,,All,RA,1835,26,21,1,1.1,2,18,0,4,1
Butte,,,"No ",RA,1754,26,21,1,1.2,2,18,0,4,1
Butte,,,Yes,RA,93,0,0,0,0,0,0,0,0,0
Calaveras,,,All,RA,21,5,3,1,14.3,0,3,0,0,2
Calaveras,,,"No ",RA,20,5,3,1,15,0,3,0,0,2
Colusa,,,All,RA,61,3,2,0,3.3,0,1,0,0,0
Colusa,,,"No ",RA,61,3,2,0,3.3,0,1,0,0,0
"Contra Costa",,,All,RA,24301,284,225,13,0.9,50,152,14,33,16
"Contra Costa",,,"No ",RA,23752,279,220,13,0.9,50,152,13,31,16
"Contra Costa",,,Yes,RA,574,4,4,0,0.7,0,0,0,2,0
"Del Norte",,,All,RA,174,4,4,1,2.3,0,2,0,1,1
"Del Norte",,,"No ",RA,165,5,5,1,3,0,3,0,1,1
"Del Norte",,,Yes,RA,14,0,0,0,0,0,0,0,0,0
"El Dorado",,,All,RA,1366,19,16,0,1.2,5,9,0,4,0
"El Dorado",,,"No ",RA,1071,18,15,0,1.4,5,8,0,4,0
"El Dorado",,,Yes,RA,301,1,1,0,0.3,0,1,0,0,0
Fresno,,,All,RA,20262,485,377,8,1.9,96,259,18,92,9
Fresno,,,"No ",RA,19542,484,376,8,1.9,96,258,18,92,9
Fresno,,,Yes,RA,841,1,1,0,0.1,0,1,0,0,0
Glenn,,,All,RA,129,11,6,3,4.7,0,4,0,3,4
Glenn,,,"No ",RA,123,11,6,3,4.9,0,4,0,3,4
Humboldt,,,All,RA,607,9,5,0,0.8,1,5,0,3,0
Humboldt,,,"No ",RA,583,9,5,0,0.9,1,5,0,3,0
Humboldt,,,Yes,RA,29,0,0,0,0,0,0,0,0,0
Imperial,,,All,RA,139,2,2,0,1.4,0,1,0,1,0
Imperial,,,"No ",RA,138,2,2,0,1.4,0,1,0,1,0
Inyo,,,All,RA,23,0,0,0,0,0,0,0,0,0
Inyo,,,"No ",RA,19,0,0,0,0,0,0,0,0,0
Kern,,,All,RA,4974,76,58,6,1.2,3,45,9,12,7
Kern,,,"No ",RA,4481,76,58,6,1.3,3,45,9,12,7
Kern,,,Yes,RA,508,0,0,0,0,0,0,0,0,0
Kings,,,All,RA,297,9,7,1,2.4,0,5,1,1,1
Kings,,,"No ",RA,210,9,7,1,3.3,0,5,1,1,1
Kings,,,Yes,RA,93,0,0,0,0,0,0,0,0,0
Lake,,,All,RA,73,5,3,0,4.1,0,3,0,2,0
Lake,,,"No ",RA,68,5,3,0,4.4,0,3,0,2,0
Lassen,,,All,RA,35,5,2,0,5.7,0,5,0,0,0
Lassen,,,"No ",RA,33,5,2,0,6.1,0,5,0,0,0
"Los Angeles",,,All,RA,107351,678,564,25,0.5,93,388,44,93,25
"Los Angeles",,,"No ",RA,99446,654,541,24,0.5,86,379,42,90,24
"Los Angeles",,,Yes,RA,9797,24,23,1,0.2,7,8,3,3,1
Madera,,,All,RA,533,14,8,2,1.5,3,5,1,3,2
Madera,,,"No ",RA,503,14,8,2,1.6,3,5,1,3,2
Madera,,,Yes,RA,35,0,0,0,0,0,0,0,0,0
Marin,,,All,RA,1383,13,10,1,0.7,6,5,0,1,1
Marin,,,"No ",RA,1357,13,10,1,0.7,6,5,0,1,1
Marin,,,Yes,RA,27,0,0,0,0,0,0,0,0,0
Mariposa,,,All,RA,14,2,1,0,7.1,0,0,0,2,0
Mariposa,,,"No ",RA,12,2,1,0,8.3,0,0,0,2,0
Mendocino,,,All,RA,100,10,4,0,4,1,5,0,4,0
Mendocino,,,"No ",RA,85,10,4,0,4.7,1,5,0,4,0
Mendocino,,,Yes,RA,15,0,0,0,0,0,0,0,0,0
Merced,,,All,RA,3199,58,46,3,1.4,2,33,4,13,4
Merced,,,"No ",RA,3186,58,46,3,1.4,2,33,4,13,4
Merced,,,Yes,RA,17,0,0,0,0,0,0,0,0,0
Mono,,,All,RA,18,0,0,0,0,0,0,0,0,0
Mono,,,"No ",RA,15,0,0,0,0,0,0,0,0,0
Monterey,,,All,RA,1218,10,9,1,0.7,2,5,0,2,1
Monterey,,,"No ",RA,1146,9,8,1,0.7,2,4,0,2,1
Monterey,,,Yes,RA,79,1,1,0,1.3,0,1,0,0,0
Napa,,,All,RA,437,6,6,1,1.4,0,2,0,3,1
Napa,,,"No ",RA,431,6,6,1,1.4,0,2,0,3,1
Nevada,,,All,RA,116,0,0,0,0,0,0,0,0,0
Nevada,,,"No ",RA,71,0,0,0,0,0,0,0,0,0
Nevada,,,Yes,RA,45,0,0,0,0,0,0,0,0,0
Orange,,,All,RA,79934,698,566,24,0.7,85,384,68,99,26
Orange,,,"No ",RA,77836,686,554,23,0.7,83,376,68,98,25
Orange,,,Yes,RA,2252,12,12,1,0.5,2,8,0,1,1
Placer,,,All,RA,5689,76,54,3,0.9,13,34,2,19,3
Placer,,,"No ",RA,4792,71,49,3,1,13,30,2,19,3
Placer,,,Yes,RA,949,5,5,0,0.5,0,4,0,0,0
Plumas,,,All,RA,11,0,0,0,0,0,0,0,0,0
Plumas,,,"No ",RA,11,0,0,0,0,0,0,0,0,0
Riverside,,,All,RA,14979,224,168,6,1.1,46,120,10,30,10
Riverside,,,"No ",RA,14376,217,162,6,1.1,46,114,10,29,10
Riverside,,,Yes,RA,665,7,7,0,1.1,0,6,0,1,0
Sacramento,,,All,RA,43409,1063,763,97,1.8,120,571,43,161,134
Sacramento,,,"No ",RA,39004,1041,741,96,1.9,117,560,41,157,133
