CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RF,9413,152,120,10,1.3,34,61,10,22,11
Alameda,,,"No ",RF,9081,148,116,10,1.3,32,60,9,22,11
Alameda,,,Yes,RF,346,4,4,0,1.2,2,1,1,0,0
Amador,,,All,RF,21,0,0,0,0,0,0,0,0,0
Amador,,,"No ",RF,21,0,0,0,0,0,0,0,0,0
Butte,,,All,RF,111,11,7,1,6.3,1,6,0,3,1
Butte,,,"No ",RF,106,8,6,1,5.7,1,5,0,1,1
Calaveras,,,All,RF,16,1,1,1,6.3,0,0,0,0,1
Calaveras,,,"No ",RF,16,1,1,1,6.3,0,0,0,0,1
"Contra Costa",,,All,RF,7287,98,84,3,1.2,21,49,8,15,3
"Contra Costa",,,"No ",RF,7006,98,81,3,1.2,20,50,8,15,3
"Contra Costa",,,Yes,RF,296,6,4,0,1.4,1,3,0,2,0
"Del Norte",,,All,RF,20,0,0,0,0,0,0,0,0,0
"Del Norte",,,"No ",RF,17,0,0,0,0,0,0,0,0,0
"El Dorado",,,All,RF,429,10,6,0,1.4,1,8,0,0,0
"El Dorado",,,"No ",RF,367,7,5,0,1.4,1,5,0,0,0
"El Dorado",,,Yes,RF,69,3,1,0,1.4,0,3,0,0,0
Fresno,,,All,RF,1558,34,25,1,1.6,2,23,1,5,1
Fresno,,,"No ",RF,1441,30,24,1,1.7,2,20,1,4,1
Fresno,,,Yes,RF,126,4,1,0,0.8,0,3,0,1,0
Humboldt,,,All,RF,39,3,2,0,5.1,0,2,0,1,0
Humboldt,,,"No ",RF,36,3,2,0,5.6,0,2,0,1,0
Imperial,,,All,RF,70,4,4,0,5.7,0,1,0,2,0
Imperial,,,"No ",RF,68,4,4,0,5.9,0,1,0,2,0
Kern,,,All,RF,2376,56,33,0,1.4,10,31,1,7,0
Kern,,,"No ",RF,2148,49,30,0,1.4,10,26,1,6,0
Kern,,,Yes,RF,256,7,3,0,1.2,0,5,0,1,0
Kings,,,All,RF,457,6,5,0,1.1,1,3,2,0,0
Kings,,,"No ",RF,372,5,4,0,1.1,1,3,1,0,0
Kings,,,Yes,RF,90,1,1,0,1.1,0,0,1,0,0
Lake,,,All,RF,42,9,3,0,7.1,0,6,1,2,0
Lake,,,"No ",RF,38,9,3,0,7.9,0,6,1,2,0
Lassen,,,All,RF,18,2,1,0,5.6,0,2,0,0,0
Lassen,,,"No ",RF,18,2,1,0,5.6,0,2,0,0,0
"Los Angeles",,,All,RF,29101,221,178,5,0.6,22,117,22,38,6
"Los Angeles",,,"No ",RF,25941,214,173,4,0.7,21,112,22,38,5
"Los Angeles",,,Yes,RF,3606,8,6,1,0.2,1,5,1,0,1
Madera,,,All,RF,72,5,3,0,4.2,0,5,0,0,0
Madera,,,"No ",RF,67,5,3,0,4.5,0,5,0,0,0
