CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RH,76131,3726,2572,160,3.4,755,1840,180,541,186
Alameda,,,"No ",RH,65267,3202,2205,126,3.4,692,1547,160,455,151
Alameda,,,Yes,RH,11351,523,368,34,3.2,63,292,20,86,35
Amador,,,All,RH,1016,109,61,9,6,21,45,1,19,10
Amador,,,"No ",RH,1016,109,61,9,6,21,45,1,19,10
Butte,,,All,RH,8054,527,362,15,4.5,64,289,26,106,16
Butte,,,"No ",RH,7357,511,350,13,4.8,62,281,25,103,14
Butte,,,Yes,RH,780,14,12,2,1.5,2,7,1,2,2
Calaveras,,,All,RH,1292,178,91,17,7,31,71,6,20,42
Calaveras,,,"No ",RH,1216,178,91,17,7.5,31,71,6,20,42
Calaveras,,,Yes,RH,82,0,0,0,0,0,0,0,0,0
Colusa,,,All,RH,3906,221,168,7,4.3,26,134,4,27,7
Colusa,,,"No ",RH,3906,221,168,7,4.3,26,134,4,27,7
"Contra Costa",,,All,RH,66121,3816,2527,218,3.8,660,1889,157,616,292
"Contra Costa",,,"No ",RH,59066,3523,2315,188,3.9,634,1733,157,564,256
"Contra Costa",,,Yes,RH,7404,280,210,28,2.8,25,150,1,47,34
"Del Norte",,,All,RH,1011,117,59,7,5.8,14,69,1,19,11
"Del Norte",,,"No ",RH,899,115,57,7,6.3,14,67,1,19,11
"Del Norte",,,Yes,RH,143,1,1,0,0.7,0,1,0,0,0
"El Dorado",,,All,RH,6631,367,252,22,3.8,64,164,10,87,27
"El Dorado",,,"No ",RH,5545,358,247,22,4.5,63,159,9,85,27
"El Dorado",,,Yes,RH,1160,9,6,0,0.5,1,5,1,2,0
Fresno,,,All,RH,141826,10278,6919,320,4.9,2618,4025,430,2386,374
Fresno,,,"No ",RH,131329,10113,6792,317,5.2,2590,3937,424,2369,371
Fresno,,,Yes,RH,12645,162,128,3,1,30,87,6,13,3
Glenn,,,All,RH,3589,259,176,24,4.9,37,128,4,36,28
Glenn,,,"No ",RH,3287,257,175,24,5.3,37,126,4,36,28
Glenn,,,Yes,RH,331,3,2,0,0.6,1,2,0,0,0
Humboldt,,,All,RH,3636,295,170,15,4.7,21,169,5,61,23
Humboldt,,,"No ",RH,3271,294,169,15,5.2,21,168,5,61,23
Humboldt,,,Yes,RH,412,1,1,0,0.2,0,1,0,0,0
Imperial,,,All,RH,35106,1819,1252,168,3.6,179,786,96,446,235
Imperial,,,"No ",RH,34545,1819,1252,168,3.6,179,786,96,446,235
Imperial,,,Yes,RH,636,0,0,0,0,0,0,0,0,0
Inyo,,,All,RH,2791,67,45,2,1.6,22,29,3,7,3
Inyo,,,"No ",RH,1111,67,45,2,4.1,22,29,3,7,3
Inyo,,,Yes,RH,1680,0,0,0,0,0,0,0,0,0
Kern,,,All,RH,136712,7202,4851,311,3.5,647,3943,447,1485,390
Kern,,,"No ",RH,127094,6929,4660,308,3.7,630,3795,426,1410,386
Kern,,,Yes,RH,10872,273,199,3,1.8,17,148,21,75,4
Kings,,,All,RH,22360,1718,1155,48,5.2,203,959,72,341,57
Kings,,,"No ",RH,19102,1678,1127,48,5.9,194,933,72,336,57
Kings,,,Yes,RH,3772,37,27,0,0.7,8,24,0,5,0
Lake,,,All,RH,4362,488,328,34,7.5,64,275,26,76,42
Lake,,,"No ",RH,4286,488,328,34,7.7,64,275,26,76,42
Lake,,,Yes,RH,79,0,0,0,0,0,0,0,0,0
Lassen,,,All,RH,824,56,38,4,4.6,1,35,1,12,5
Lassen,,,"No ",RH,725,49,35,4,4.8,1,31,0,10,5
Lassen,,,Yes,RH,116,1,1,0,0.9,0,0,1,0,0
"Los Angeles",,,All,RH,912394,20733,15149,965,1.7,2222,10639,1348,4043,1192
"Los Angeles",,,"No ",RH,776961,19320,13947,898,1.8,1954,10015,1255,3754,1118
"Los Angeles",,,Yes,RH,149239,1433,1221,69,0.8,273,629,96,291,78
Madera,,,All,RH,25352,1561,999,53,3.9,322,566,75,473,67
Madera,,,"No ",RH,24160,1531,974,52,4,324,553,74,456,66
Madera,,,Yes,RH,1506,30,26,1,1.7,0,12,1,16,1
Marin,,,All,RH,10800,492,359,29,3.3,88,227,26,105,30
Marin,,,"No ",RH,10670,490,357,29,3.3,88,226,26,104,30
Marin,,,Yes,RH,136,2,2,0,1.5,0,1,0,1,0
Mariposa,,,All,RH,471,29,20,4,4.2,0,14,1,8,4
Mariposa,,,"No ",RH,442,29,20,4,4.5,0,14,1,8,4
Mariposa,,,Yes,RH,33,0,0,0,0,0,0,0,0,0
Mendocino,,,All,RH,6185,614,358,30,5.8,117,295,19,108,35
Mendocino,,,"No ",RH,5819,573,337,29,5.8,116,267,16,100,34
Mendocino,,,Yes,RH,414,41,26,1,6.3,1,28,3,8,1
Merced,,,All,RH,47005,3687,2241,483,4.8,227,1630,186,526,954
Merced,,,"No ",RH,46512,3670,2228,482,4.8,227,1625,185,519,953
Merced,,,Yes,RH,658,12,11,0,1.7,0,3,1,5,0
Modoc,,,All,RH,530,30,24,4,4.5,2,14,2,7,4
