CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RP,2110,111,89,5,4.2,22,54,5,14,7
Alameda,,,"No ",RP,1979,104,82,5,4.1,21,49,5,13,7
Alameda,,,Yes,RP,141,7,7,0,5,1,5,0,1,0
Butte,,,All,RP,103,6,5,0,4.9,0,4,0,2,0
Butte,,,"No ",RP,92,6,5,0,5.4,0,4,0,2,0
Butte,,,Yes,RP,11,0,0,0,0,0,0,0,0,0
Calaveras,,,All,RP,12,0,0,0,0,0,0,0,0,0
Calaveras,,,"No ",RP,12,0,0,0,0,0,0,0,0,0
"Contra Costa",,,All,RP,1090,82,59,3,5.4,13,48,3,10,3
"Contra Costa",,,"No ",RP,1029,81,58,3,5.6,13,48,3,10,3
"Contra Costa",,,Yes,RP,65,1,1,0,1.5,0,0,0,0,0
"El Dorado",,,All,RP,73,3,1,0,1.4,0,3,0,0,0
"El Dorado",,,"No ",RP,54,3,1,0,1.9,0,3,0,0,0
"El Dorado",,,Yes,RP,21,0,0,0,0,0,0,0,0,0
Fresno,,,All,RP,573,34,25,0,4.4,10,16,1,7,0
Fresno,,,"No ",RP,543,34,25,0,4.6,10,16,1,7,0
Fresno,,,Yes,RP,35,0,0,0,0,0,0,0,0,0
Humboldt,,,All,RP,88,11,6,1,6.8,1,9,0,0,1
Humboldt,,,"No ",RP,79,11,6,1,7.6,1,9,0,0,1
Humboldt,,,Yes,RP,13,0,0,0,0,0,0,0,0,0
Imperial,,,All,RP,11,0,0,0,0,0,0,0,0,0
Imperial,,,"No ",RP,11,0,0,0,0,0,0,0,0,0
Kern,,,All,RP,442,32,27,1,6.1,4,19,2,6,1
Kern,,,"No ",RP,406,29,25,1,6.2,4,17,2,5,1
Kern,,,Yes,RP,39,3,2,0,5.1,0,2,0,1,0
Kings,,,All,RP,60,5,4,0,6.7,0,4,0,1,0
Kings,,,"No ",RP,50,5,4,0,8,0,4,0,1,0
Kings,,,Yes,RP,11,0,0,0,0,0,0,0,0,0
Lassen,,,All,RP,63,5,3,0,4.8,0,4,0,1,0
Lassen,,,"No ",RP,63,5,3,0,4.8,0,4,0,1,0
"Los Angeles",,,All,RP,3756,146,109,3,2.9,22,83,3,25,3
"Los Angeles",,,"No ",RP,3392,144,107,3,3.2,23,85,3,21,3
"Los Angeles",,,Yes,RP,426,2,2,0,0.5,0,0,0,2,0
Madera,,,All,RP,13,2,1,0,7.7,0,1,1,0,0
