CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,GF,107288,2627,1875,127,1.7,743,1195,84,379,146
Alameda,,,All,GM,114785,6214,4066,263,3.5,1426,3167,291,625,302
Alameda,,,All,GX,202,11,9,0,4.5,4,4,0,1,0
Alameda,,,All,RA,62116,513,413,37,0.7,97,261,35,50,39
Alameda,,,All,RB,19528,2734,1669,95,8.5,945,1312,71,190,115
Alameda,,,All,RD,3339,154,83,7,2.5,33,84,2,22,9
Alameda,,,All,RF,9413,152,120,10,1.3,34,61,10,22,11
Alameda,,,All,RH,76131,3726,2572,160,3.4,755,1840,180,541,186
Alameda,,,All,RI,609,24,20,2,3.3,5,13,0,2,2
Alameda,,,All,RP,2110,111,89,5,4.2,22,54,5,14,7
Alameda,,,All,RT,14265,518,348,25,2.4,129,262,26,41,26
Alameda,,,All,RW,34764,920,636,49,1.8,153,479,46,123,53
Alameda,,,All,SD,28791,2899,1651,132,5.7,774,1469,91,270,164
Alameda,,,All,SE,47828,1882,1284,90,2.7,397,899,92,269,100
Alameda,,,All,SF,835,150,86,4,10.3,56,68,5,13,4
Alameda,,,All,SH,3826,399,251,21,6.6,106,172,17,51,29
Alameda,,,All,SM,847,32,25,0,3,1,10,6,10,0
Alameda,,,All,SS,99366,6642,4263,293,4.3,1737,3238,256,729,342
Alameda,,,All,TA,222275,8852,5950,390,2.7,2173,4366,375,1005,448
Alameda,,,"No ",GF,96784,2309,1624,112,1.7,691,1013,75,325,131
Alameda,,,"No ",GM,104422,5400,3539,218,3.4,1331,2659,265,531,255
Alameda,,,"No ",GX,171,9,7,0,4.1,4,2,0,1,0
Alameda,,,"No ",RA,59394,488,392,37,0.7,91,249,32,47,39
Alameda,,,"No ",RB,16132,2318,1393,78,8.6,894,1022,63,154,97
Alameda,,,"No ",RD,2800,125,68,6,2.4,29,66,2,16,8
Alameda,,,"No ",RF,9081,148,116,10,1.3,32,60,9,22,11
Alameda,,,"No ",RH,65267,3202,2205,126,3.4,692,1547,160,455,151
Alameda,,,"No ",RI,559,21,17,2,3,4,11,0,2,2
Alameda,,,"No ",RP,1979,104,82,5,4.1,21,49,5,13,7
Alameda,,,"No ",RT,13176,454,308,22,2.3,121,222,24,33,23
Alameda,,,"No ",RW,32989,858,589,44,1.8,142,448,45,115,48
Alameda,,,"No ",SD,26274,2568,1465,110,5.6,731,1267,79,234,142
Alameda,,,"No ",SE,41737,1602,1100,81,2.6,366,722,85,227,90
Alameda,,,"No ",SF,766,142,80,4,10.4,56,65,3,10,4
Alameda,,,"No ",SH,3610,366,230,20,6.4,104,152,16,45,28
Alameda,,,"No ",SM,846,32,25,0,3,1,10,6,10,0
Alameda,,,"No ",SS,85239,5735,3663,247,4.3,1623,2664,232,612,295
Alameda,,,"No ",TA,201377,7718,5170,330,2.6,2026,3674,340,857,386
Alameda,,,Yes,GF,11022,318,254,15,2.3,52,182,9,54,15
Alameda,,,Yes,GM,10884,814,533,45,4.9,95,508,26,94,47
Alameda,,,Yes,GX,35,2,2,0,5.7,0,2,0,0,0
Alameda,,,Yes,RA,2830,24,20,0,0.7,6,11,3,3,0
Alameda,,,Yes,RB,3641,416,281,17,7.7,51,291,7,36,18
Alameda,,,Yes,RD,574,29,16,1,2.8,4,18,0,6,1
Alameda,,,Yes,RF,346,4,4,0,1.2,2,1,1,0,0
Alameda,,,Yes,RH,11351,523,368,34,3.2,63,292,20,86,35
Alameda,,,Yes,RI,54,2,2,0,3.7,1,1,0,0,0
Alameda,,,Yes,RP,141,7,7,0,5,1,5,0,1,0
Alameda,,,Yes,RT,1149,65,42,3,3.7,8,40,3,8,3
Alameda,,,Yes,RW,1855,64,49,5,2.6,11,33,1,8,5
Alameda,,,Yes,SD,2699,331,189,22,7,43,202,12,36,22
Alameda,,,Yes,SE,6388,280,186,9,2.9,31,177,7,42,10
Alameda,,,Yes,SF,85,8,6,0,7.1,0,3,2,3,0
Alameda,,,Yes,SH,264,33,22,1,8.3,2,20,1,6,1
Alameda,,,Yes,SS,14945,907,608,46,4.1,114,574,24,117,47
Alameda,,,Yes,TA,21941,1134,789,60,3.6,147,692,35,148,62
Alpine,,,All,GF,34,2,2,0,5.9,0,1,0,1,0
Alpine,,,All,GM,39,9,5,0,12.8,1,7,0,1,0
Alpine,,,All,RI,32,8,4,0,12.5,1,6,0,1,0
Alpine,,,All,RW,33,3,3,0,9.1,0,2,0,1,0
Alpine,,,All,SD,12,3,2,0,16.7,1,1,0,1,0
Alpine,,,All,SS,45,11,7,0,15.6,1,8,0,2,0
Alpine,,,All,TA,73,11,7,0,9.6,1,8,0,2,0
Alpine,,,"No ",GF,34,2,2,0,5.9,0,1,0,1,0
Alpine,,,"No ",GM,39,9,5,0,12.8,1,7,0,1,0
Alpine,,,"No ",RI,32,8,4,0,12.5,1,6,0,1,0
Alpine,,,"No ",RW,33,3,3,0,9.1,0,2,0,1,0
Alpine,,,"No ",SD,12,3,2,0,16.7,1,1,0,1,0
Alpine,,,"No ",SS,45,11,7,0,15.6,1,8,0,2,0
Alpine,,,"No ",TA,73,11,7,0,9.6,1,8,0,2,0
Amador,,,All,GF,2088,114,84,8,4,20,33,0,47,8
Amador,,,All,GM,2198,314,174,11,7.9,70,130,3,61,12
Amador,,,All,RA,27,1,1,0,3.7,1,0,0,0,0
Amador,,,All,RB,23,7,4,0,17.4,2,3,0,1,0
Amador,,,All,RD,48,7,3,0,6.3,2,0,0,3,0
Amador,,,All,RF,21,0,0,0,0,0,0,0,0,0
Amador,,,All,RH,1016,109,61,9,6,21,45,1,19,10
