CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
Alameda,,,All,RW,34764,920,636,49,1.8,153,479,46,123,53
Alameda,,,"No ",RW,32989,858,589,44,1.8,142,448,45,115,48
Alameda,,,Yes,RW,1855,64,49,5,2.6,11,33,1,8,5
Alpine,,,All,RW,33,3,3,0,9.1,0,2,0,1,0
Alpine,,,"No ",RW,33,3,3,0,9.1,0,2,0,1,0
Amador,,,All,RW,2750,266,163,9,5.9,51,100,2,78,9
Amador,,,"No ",RW,2750,266,163,9,5.9,51,100,2,78,9
Butte,,,All,RW,16340,1399,814,55,5,159,752,52,264,71
Butte,,,"No ",RW,13578,1350,780,54,5.7,142,733,50,255,70
Butte,,,Yes,RW,3080,49,38,1,1.2,17,19,2,9,1
Calaveras,,,All,RW,3811,528,278,43,7.3,111,227,15,68,85
Calaveras,,,"No ",RW,3497,527,277,43,7.9,111,226,15,68,85
Calaveras,,,Yes,RW,372,1,1,0,0.3,0,1,0,0,0
Colusa,,,All,RW,796,34,24,1,3,8,18,0,3,2
Colusa,,,"No ",RW,796,34,24,1,3,8,18,0,3,2
"Contra Costa",,,All,RW,45391,1557,1062,84,2.3,297,732,58,284,97
"Contra Costa",,,"No ",RW,43443,1542,1049,85,2.4,296,725,57,278,98
"Contra Costa",,,Yes,RW,2033,22,17,1,0.8,1,12,0,7,1
"Del Norte",,,All,RW,2194,277,137,18,6.2,42,124,5,67,21
"Del Norte",,,"No ",RW,1830,277,137,18,7.5,42,124,5,67,21
"Del Norte",,,Yes,RW,461,0,0,0,0,0,0,0,0,0
"El Dorado",,,All,RW,20937,801,565,58,2.7,118,338,40,214,63
"El Dorado",,,"No ",RW,15657,754,531,58,3.4,109,313,35,211,63
"El Dorado",,,Yes,RW,5540,47,36,0,0.6,9,25,4,5,0
Fresno,,,All,RW,32626,1915,1246,42,3.8,390,903,91,408,49
Fresno,,,"No ",RW,28699,1882,1222,42,4.3,379,889,91,401,49
Fresno,,,Yes,RW,4563,35,27,0,0.6,7,17,0,9,0
Glenn,,,All,RW,2559,177,102,19,4,18,91,3,22,24
Glenn,,,"No ",RW,1852,177,102,19,5.5,17,91,4,22,24
Glenn,,,Yes,RW,769,1,1,0,0.1,0,1,0,0,0
Humboldt,,,All,RW,9963,823,480,51,4.8,92,473,17,139,63
Humboldt,,,"No ",RW,8346,805,466,47,5.6,92,466,15,138,57
Humboldt,,,Yes,RW,1781,18,14,4,0.8,0,7,2,1,6
Imperial,,,All,RW,1475,64,54,4,3.7,8,28,4,17,5
Imperial,,,"No ",RW,1446,64,54,4,3.7,8,28,4,17,5
Imperial,,,Yes,RW,39,0,0,0,0,0,0,0,0,0
Inyo,,,All,RW,937,54,34,0,3.6,18,25,0,6,0
Inyo,,,"No ",RW,892,54,34,0,3.8,18,25,0,6,0
Inyo,,,Yes,RW,45,0,0,0,0,0,0,0,0,0
Kern,,,All,RW,41806,2669,1660,104,4,362,1431,129,474,126
Kern,,,"No ",RW,34763,2646,1646,103,4.7,353,1426,127,468,125
Kern,,,Yes,RW,7291,24,15,1,0.2,9,5,2,7,1
Kings,,,All,RW,5316,249,180,3,3.4,19,155,11,48,4
Kings,,,"No ",RW,3581,224,161,3,4.5,16,137,9,46,4
Kings,,,Yes,RW,1862,25,19,0,1,4,17,2,2,0
Lake,,,All,RW,4656,589,358,19,7.7,89,314,25,117,23
Lake,,,"No ",RW,4514,589,358,19,7.9,89,314,25,117,23
Lake,,,Yes,RW,151,0,0,0,0,0,0,0,0,0
Lassen,,,All,RW,2612,203,133,12,5.1,15,126,11,27,14
Lassen,,,"No ",RW,2229,204,130,12,5.8,15,128,9,28,14
Lassen,,,Yes,RW,457,4,4,0,0.9,0,2,2,0,0
"Los Angeles",,,All,RW,180289,3322,2397,170,1.3,411,1851,163,467,209
"Los Angeles",,,"No ",RW,146473,3107,2230,156,1.5,365,1746,146,444,194
"Los Angeles",,,Yes,RW,37792,214,172,14,0.5,44,106,17,23,15
Madera,,,All,RW,5947,360,256,15,4.3,64,175,17,74,16
Madera,,,"No ",RW,5207,340,238,14,4.6,64,171,15,62,15
Madera,,,Yes,RW,872,22,20,1,2.3,0,5,2,13,1
Marin,,,All,RW,16242,214,153,15,0.9,48,99,9,30,17
Marin,,,"No ",RW,15956,214,153,15,1,48,99,9,30,17
Marin,,,Yes,RW,295,0,0,0,0,0,0,0,0,0
Mariposa,,,All,RW,1281,127,80,15,6.2,2,61,6,34,17
Mariposa,,,"No ",RW,1188,125,78,15,6.6,2,60,5,34,17
Mariposa,,,Yes,RW,102,2,2,0,2,0,1,1,0,0
Mendocino,,,All,RW,4978,417,262,17,5.3,83,184,18,96,23
Mendocino,,,"No ",RW,4347,405,249,17,5.7,82,180,15,92,23
Mendocino,,,Yes,RW,702,21,16,1,2.3,1,12,3,4,1
Merced,,,All,RW,8202,520,333,49,4.1,23,286,39,67,81
Merced,,,"No ",RW,8045,524,334,50,4.2,23,287,39,69,82
Merced,,,Yes,RW,194,1,1,0,0.5,0,1,0,0,0
Modoc,,,All,RW,749,80,44,23,5.9,6,32,0,9,32
Modoc,,,"No ",RW,749,80,44,23,5.9,6,32,0,9,32
Mono,,,All,RW,712,6,6,1,0.8,0,2,2,0,1
Mono,,,"No ",RW,669,6,6,1,0.9,0,2,2,0,1
Mono,,,Yes,RW,43,0,0,0,0,0,0,0,0,0
Monterey,,,All,RW,8434,250,163,15,1.9,34,123,9,57,17
Monterey,,,"No ",RW,7803,244,159,15,2,34,119,9,55,17
Monterey,,,Yes,RW,718,4,3,0,0.4,0,3,0,1,0
Napa,,,All,RW,5168,246,163,7,3.2,59,101,11,56,9
Napa,,,"No ",RW,4973,246,163,7,3.3,59,101,11,56,9
Napa,,,Yes,RW,199,0,0,0,0,0,0,0,0,0
Nevada,,,All,RW,7243,350,229,11,3.2,73,153,17,74,11
Nevada,,,"No ",RW,4714,283,181,9,3.8,60,118,13,63,9
Nevada,,,Yes,RW,2724,63,46,2,1.7,12,32,4,11,2
Orange,,,All,RW,106544,2250,1694,80,1.6,186,1285,113,444,96
Orange,,,"No ",RW,100983,2173,1638,75,1.6,170,1246,109,433,90
Orange,,,Yes,RW,5912,84,59,6,1,17,44,4,11,7
Placer,,,All,RW,43453,1614,1114,76,2.6,265,728,71,312,116
Placer,,,"No ",RW,37103,1484,1038,74,2.8,233,645,67,311,114
Placer,,,Yes,RW,6787,129,75,1,1.1,30,81,5,4,1
Plumas,,,All,RW,1445,131,70,14,4.8,13,55,6,24,25
Plumas,,,"No ",RW,1215,131,70,14,5.8,13,55,6,24,25
Plumas,,,Yes,RW,258,0,0,0,0,0,0,0,0,0
Riverside,,,All,RW,78456,3324,2231,97,2.8,491,1794,154,643,116
Riverside,,,"No ",RW,69391,3137,2099,88,3,452,1708,146,600,107
Riverside,,,Yes,RW,9924,189,136,9,1.4,39,85,9,43,9
Sacramento,,,All,RW,68924,3909,2399,431,3.5,504,1814,164,609,614
Sacramento,,,"No ",RW,54829,3660,2219,413,4,443,1685,151,592,603
Sacramento,,,Yes,RW,15483,286,199,26,1.3,61,137,13,25,31
"San Benito",,,All,RW,1869,71,49,4,2.6,18,22,8,16,4
"San Benito",,,"No ",RW,1820,70,48,4,2.6,18,22,8,15,4
"San Benito",,,Yes,RW,52,1,1,0,1.9,0,0,0,1,0
"San Bernardino",,,All,RW,63079,3736,2470,197,3.9,409,1909,255,723,301
"San Bernardino",,,"No ",RW,52996,3585,2351,191,4.4,398,1822,250,686,298
"San Bernardino",,,Yes,RW,11144,156,126,7,1.1,13,87,8,33,7
"San Diego",,,All,RW,143045,3889,2692,259,1.9,519,1903,179,763,302
"San Diego",,,"No ",RW,119077,3644,2490,234,2.1,487,1800,159,720,276
"San Diego",,,Yes,RW,26595,261,213,26,0.8,31,107,22,50,28
"San Francisco",,,All,RW,8436,127,91,3,1.1,23,56,6,32,3
"San Francisco",,,"No ",RW,7040,86,64,2,0.9,19,41,4,14,2
"San Francisco",,,Yes,RW,1436,40,27,1,1.9,4,14,2,18,1
"San Joaquin",,,All,RW,24711,1701,1068,101,4.3,324,859,74,233,150
"San Joaquin",,,"No ",RW,20195,1607,1000,88,5,309,814,68,223,135
"San Joaquin",,,Yes,RW,4785,92,68,12,1.4,16,43,6,10,14
"San Luis Obispo",,,All,RW,16401,960,595,43,3.6,208,395,47,207,58
"San Luis Obispo",,,"No ",RW,15952,953,590,42,3.7,206,391,47,207,57
"San Luis Obispo",,,Yes,RW,479,7,5,1,1,2,4,0,0,1
"San Mateo",,,All,RW,21844,528,381,149,1.7,64,169,22,48,199
"San Mateo",,,"No ",RW,20964,521,375,149,1.8,63,167,22,47,199
"San Mateo",,,Yes,RW,900,7,6,0,0.7,1,2,0,1,0
"Santa Barbara",,,All,RW,14358,359,249,13,1.7,79,147,23,67,14
"Santa Barbara",,,"No ",RW,12295,349,240,13,2,77,145,22,64,14
"Santa Barbara",,,Yes,RW,2200,8,7,0,0.3,2,2,1,2,0
"Santa Clara",,,All,RW,42076,981,652,38,1.5,154,568,48,117,42
"Santa Clara",,,"No ",RW,38509,923,610,37,1.6,144,532,46,112,41
"Santa Clara",,,Yes,RW,3667,58,43,1,1.2,10,36,2,5,1
"Santa Cruz",,,All,RW,13318,352,252,15,1.9,58,149,20,92,18
"Santa Cruz",,,"No ",RW,10787,327,231,11,2.1,48,144,20,87,14
"Santa Cruz",,,Yes,RW,2679,25,21,4,0.8,10,5,0,5,4
Shasta,,,All,RW,17860,1519,959,78,5.4,178,797,54,320,92
Shasta,,,"No ",RW,14764,1459,925,75,6.3,163,768,53,310,89
Shasta,,,Yes,RW,3459,59,37,3,1.1,15,28,1,10,3
Sierra,,,All,RW,308,0,0,0,0,0,0,0,0,0
Sierra,,,"No ",RW,308,0,0,0,0,0,0,0,0,0
Siskiyou,,,All,RW,3671,214,161,26,4.4,11,112,10,39,32
Siskiyou,,,"No ",RW,3260,210,157,26,4.8,11,111,9,37,32
Siskiyou,,,Yes,RW,469,4,4,0,0.9,0,1,1,2,0
Solano,,,All,RW,13726,812,497,75,3.6,220,304,39,128,88
Solano,,,"No ",RW,12668,760,461,65,3.6,216,274,39,121,77
Solano,,,Yes,RW,1179,50,36,10,3.1,3,29,0,7,11
Sonoma,,,All,RW,26070,1102,722,75,2.8,178,519,50,201,91
Sonoma,,,"No ",RW,17900,917,607,64,3.4,156,410,42,177,77
Sonoma,,,Yes,RW,8527,189,120,11,1.4,22,112,8,25,14
Stanislaus,,,All,RW,25390,1694,1074,140,4.2,294,769,91,269,186
Stanislaus,,,"No ",RW,21952,1639,1039,138,4.7,291,732,88,262,183
Stanislaus,,,Yes,RW,3666,55,37,2,1,5,37,3,5,3
Sutter,,,All,RW,9857,646,389,86,3.9,81,301,33,90,109
Sutter,,,"No ",RW,5327,629,382,86,7.2,77,290,32,90,109
Sutter,,,Yes,RW,4585,17,9,0,0.2,4,11,1,0,0
Tehama,,,All,RW,5483,587,365,32,6.7,111,285,22,95,38
Tehama,,,"No ",RW,5224,577,358,32,6.9,111,278,22,93,38
Tehama,,,Yes,RW,363,10,7,0,1.9,0,7,0,2,0
Trinity,,,All,RW,1122,114,61,16,5.4,28,33,1,15,36
Trinity,,,"No ",RW,1052,114,61,16,5.8,28,33,1,15,36
Trinity,,,Yes,RW,70,0,0,0,0,0,0,0,0,0
Tulare,,,All,RW,14942,750,503,29,3.4,116,379,38,153,34
Tulare,,,"No ",RW,12063,693,457,29,3.8,109,347,37,136,35
Tulare,,,Yes,RW,3261,61,50,1,1.5,7,33,1,17,1
Tuolumne,,,All,RW,4320,449,286,33,6.6,10,205,19,143,46
Tuolumne,,,"No ",RW,3871,446,283,33,7.3,10,203,19,142,46
Tuolumne,,,Yes,RW,540,3,3,0,0.6,0,2,0,1,0
Ventura,,,All,RW,35098,941,660,34,1.9,156,451,46,201,41
Ventura,,,"No ",RW,32920,911,639,34,1.9,151,437,45,196,41
Ventura,,,Yes,RW,2785,27,18,0,0.6,5,12,1,4,0
Yolo,,,All,RW,9541,401,263,15,2.8,58,207,21,77,17
Yolo,,,"No ",RW,8181,379,253,15,3.1,57,187,21,77,17
Yolo,,,Yes,RW,1409,22,10,0,0.7,1,20,0,0,0
Yuba,,,All,RW,6108,552,338,25,5.5,29,397,31,53,29
Yuba,,,"No ",RW,5389,530,322,24,6,24,387,30,50,28
Yuba,,,Yes,RW,811,23,19,1,2.3,5,11,1,3,1
