AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,Unduplicated_Students_Suspended,Unduplicated_Defiance_Students,SuspensionRate,ViolentIncident_Injury,ViolentIncident_NoInjury,WeaponsPossession,Drug_Related,DefianceTotal,Other_Reasons
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,Female,97,37,9,5,9.3000,5,21,2,0,9,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",Female,46,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",Female,97,37,9,5,9.3000,5,21,2,0,9,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,Female,15,21,9,4,60.0000,1,12,0,2,6,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ",Female,77,46,21,9,27.3000,1,23,0,5,16,1
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,Female,15,21,9,4,60.0000,1,12,0,2,6,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,Female,77,46,21,9,27.3000,1,23,0,5,16,1
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,Female,46,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",Male,119,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,Male,15,13,6,1,40.0000,0,0,0,12,1,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,Male,140,90,21,10,15.0000,12,59,1,0,13,5
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,Male,15,13,6,1,40.0000,0,0,0,12,1,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,Male,124,91,45,17,36.3000,1,40,2,23,21,4
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",Male,140,90,21,10,15.0000,12,59,1,0,13,5
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,Male,119,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ",Male,124,91,45,17,36.3000,1,40,2,23,21,4
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,Asian,15,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",Asian,15,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,Asian,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ",Asian,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,Asian,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",Asian,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,"African American",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"African American",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"African American",19,18,6,1,31.6000,10,6,0,0,1,1
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"African American",33,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","African American",19,18,6,1,31.6000,10,6,0,0,1,1
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,"African American",31,42,12,8,38.7000,1,16,0,11,12,2
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","African American",33,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ","African American",31,42,12,8,38.7000,1,16,0,11,12,2
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"Not Reported",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"Not Reported",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","Not Reported",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Not Reported",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",Filipino,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,Filipino,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Hispanic or Latino",76,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"Hispanic or Latino",76,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ","Hispanic or Latino",113,81,46,15,40.7000,1,44,2,11,20,3
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"Hispanic or Latino",18,22,11,4,61.1000,0,6,0,11,5,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,"Hispanic or Latino",113,81,46,15,40.7000,1,44,2,11,20,3
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","Hispanic or Latino",60,23,7,3,11.7000,1,19,0,0,3,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"Hispanic or Latino",60,23,7,3,11.7000,1,19,0,0,3,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,"Hispanic or Latino",18,22,11,4,61.1000,0,6,0,11,5,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","American Indian or Alaska Native",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"American Indian or Alaska Native",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"Pacific Islander",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,"Pacific Islander",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Pacific Islander",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ","Pacific Islander",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ","Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,"Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,"Two or More Races",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,White,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ",White,136,86,17,11,12.5000,6,55,3,0,18,4
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,White,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,White,136,86,17,11,12.5000,6,55,3,0,18,4
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,White,41,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,White,45,4,4,1,8.9000,0,3,0,0,1,0
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ",White,41,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ",White,45,4,4,1,8.9000,0,3,0,0,1,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community",All,"Students with Disabilities",38,32,14,5,36.8000,0,16,0,9,6,1
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court",All,"Students with Disabilities",41,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","Students with Disabilities",236,127,30,15,12.7000,17,80,3,0,22,5
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",All,"Students with Disabilities",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,2130037,Marin,"Marin County Office of Education","Marin County Community","No ","Students with Disabilities",38,32,14,5,36.8000,0,16,0,9,6,1
2011-01-08,S,21,10215,2130102,Marin,"Marin County Office of Education","Phoenix Academy",Yes,"Students with Disabilities",0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education",All,"Students with Disabilities",236,127,30,15,12.7000,17,80,3,0,22,5
2011-01-08,S,21,10215,113183,Marin,"Marin County Office of Education","Marin County Juvenile Court","No ","Students with Disabilities",41,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,1,Marin,"Marin County Office of Education",Nonpublic,,,0,0,0,0,0.0000,0,0,0,0,0,0
2011-01-08,S,21,10215,6069504,Marin,"Marin County Office of Education","Marin County Special Education","No ","English Learners",42,13,4,1,9.5000,1,11,0,0,1,0
